League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Japan J1 League,2023-08-18,07:00:00,24,Avispa Fukuoka,Albirex Niigata,1.86,3.25,3.95,1.08,6.5,1.42,2.62,2.1,1.6,1.49,2.4,2.0,1.73,1.36,1.35,1.6,1.92,0.91,1.44,1.24,2.68,1.95,7.5,2.1,1.34,1.64,2.12,2.8,3.86
South Korea K League 1,2023-08-18,07:30:00,27,Suwon Bluewings,Jeju United,3.1,3.3,2.07,1.05,9.0,1.29,3.4,1.91,1.85,1.33,3.0,1.67,2.1,1.65,1.3,1.38,0.46,1.31,1.33,1.68,3.01,2.77,8.0,1.64,1.58,2.0,2.53,2.98,4.3
South Korea K League 1,2023-08-18,07:30:00,27,Incheon United,Gwangju,2.28,2.9,3.05,1.08,7.0,1.4,2.75,2.3,1.58,1.44,2.62,1.91,1.8,1.4,1.3,1.53,1.38,1.31,1.58,1.35,2.93,1.85,7.5,2.29,1.57,1.97,2.42,3.42,4.95
Japan J1 League,2023-08-18,07:30:00,24,Urawa Reds,Nagoya Grampus,2.16,2.98,3.31,1.09,7.0,1.5,2.48,2.4,1.44,1.57,2.25,2.2,1.62,1.3,1.28,1.57,2.0,1.6,1.64,1.41,3.05,1.73,8.0,2.5,1.3,1.55,1.98,2.6,3.6
China Chinese Super League,2023-08-18,08:35:00,23,Zhejiang FC,Qingdao Jonoon,1.53,4.0,5.25,1.04,15.75,1.18,4.15,1.6,2.1,1.32,3.22,1.75,2.01,1.13,1.23,2.48,1.73,0.18,1.4,1.23,2.63,1.33,9.0,3.75,1.32,1.57,2.0,2.5,3.4
China Chinese Super League,2023-08-18,08:35:00,23,Shanghai SIPG,Meizhou Hakka,1.22,6.25,11.0,1.02,13.0,1.13,4.9,1.41,2.69,1.25,3.75,2.05,1.7,1.02,1.11,4.35,2.09,0.55,1.7,1.04,2.74,1.17,11.0,6.5,1.39,1.67,2.12,2.8,3.9
China Chinese Super League,2023-08-18,08:35:00,23,Shandong Luneng,Tianjin Teda,1.33,4.9,8.0,1.03,17.25,1.2,4.0,1.57,2.2,1.3,3.2,1.91,1.8,1.07,1.17,3.2,2.36,1.27,1.74,1.09,2.83,1.16,10.5,7.1,1.34,1.62,2.1,2.8,4.0
Finland Veikkausliiga,2023-08-18,12:00:00,20,Lahti,VPS,2.96,3.38,2.35,1.05,9.0,1.3,3.4,1.86,1.92,1.39,3.13,1.71,2.08,1.75,1.3,1.25,1.0,1.11,1.33,1.34,2.67,1.95,8.0,2.1,1.2,1.4,1.67,2.05,2.6
Romania Liga I,2023-08-18,12:30:00,6,Petrolul 52,U Craiova 1948,2.34,2.75,2.71,1.06,10.25,1.34,3.18,2.0,1.67,1.45,2.6,1.8,1.9,1.42,1.32,1.52,1.33,1.5,1.64,0.93,2.57,2.0,7.5,2.05,1.4,1.8,2.33,3.2,0.0
Finland Veikkausliiga,2023-08-18,12:30:00,20,Mariehamn,Honka,3.55,3.25,1.97,1.06,8.0,1.36,3.0,1.95,1.7,1.45,2.84,1.85,1.85,1.75,1.3,1.25,0.67,1.0,1.25,1.29,2.54,2.44,8.0,1.75,1.17,1.35,1.63,2.06,2.69
Slovenia PrvaLiga,2023-08-18,12:30:00,5,Bravo,Koper,2.66,3.06,2.85,1.08,7.0,1.36,2.95,2.0,1.7,1.46,2.55,1.83,1.9,1.36,1.28,1.42,3.0,0.0,1.4,0.0,1.4,2.14,8.5,1.92,0.0,1.63,2.02,2.57,0.0
Estonia Meistriliiga,2023-08-18,13:00:00,24,Harju Jalgpallikool,Trans,3.8,3.5,1.81,1.05,11.5,1.29,3.28,1.85,1.9,1.4,2.75,1.82,1.88,1.82,1.25,1.23,0.67,1.08,1.24,1.36,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
