timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1643998500,Feb 04 2022 - 6:15pm,complete,N/A,César Vallejo,Cienciano,Wilfredo Blas,1,0.00,0.00,2.33,1.11,0,0,0,0,0,0,"","",2,2,2,0,4,0,2,0,3,1,10,14,5,3,5,11,14,23,63,37,0.00,0.00,1.25,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.25,3.05,1.33,2.00,3.30,7.00,1.86,1.84,Sports Complex Videna (Lima)
1644006600,Feb 04 2022 - 8:30pm,complete,N/A,UTC Cajamarca,Sport Boys,Kevin Ortega,1,0.00,0.00,1.94,0.61,2,1,3,2,1,1,"4,90'6","7",5,2,2,0,1,0,1,1,1,0,18,6,8,4,10,2,16,17,61,39,0.00,0.00,2.36,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.69,3.55,4.05,1.30,1.90,3.50,6.50,1.95,1.77,Estadio Héroes de San Ramón (Cajamarca)
1644019200,Feb 05 2022 - 12:00am,complete,N/A,Alianza Lima,Atlético Grau,Michael Espinoza,1,0.00,0.00,2.47,1.28,1,1,2,0,0,0,"78","68",4,1,0,0,3,0,0,0,0,3,13,5,3,4,10,1,16,18,61,39,0.00,0.00,1.66,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.35,4.25,6.80,1.22,1.90,2.62,4.75,1.98,1.74,Estadio Alejandro Villanueva (Lima)
1644084900,Feb 05 2022 - 6:15pm,complete,N/A,Deportivo Municipal,Ayacucho,Joel Alarcón,1,0.00,0.00,1.39,0.56,3,2,5,4,2,2,"4,19,72","13,20",2,3,3,0,2,1,1,2,1,2,5,8,4,4,1,4,16,14,71,29,0.00,0.00,1.03,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.22,3.40,3.18,1.30,1.90,3.40,6.50,1.68,2.05,Estadio Municipal Iván Elías Moreno (Lima)
1644093000,Feb 05 2022 - 8:30pm,complete,N/A,Sport Huancayo,Sporting Cristal,Roberto Pérez Gutierrez,1,0.00,0.00,2.28,2.00,1,0,1,1,1,0,"39","",4,5,3,0,2,0,2,1,0,2,15,12,5,4,10,8,16,12,53,47,0.00,0.00,1.81,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.88,3.40,2.40,1.30,1.90,3.30,6.50,1.70,2.05,Estadio Huancayo (Huancayo)
1644105600,Feb 06 2022 - 12:00am,complete,N/A,Melgar,Carlos Manucci,Fernando Legario,1,0.00,0.00,2.70,0.78,1,0,1,0,0,0,"59","",6,1,3,0,3,0,0,3,2,1,18,9,7,5,11,4,15,10,60,40,0.00,0.00,2.14,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.51,4.25,6.20,1.22,1.65,2.50,4.50,1.60,2.23,Estadio de la Universidad Nacional San Agustín (Arequipa)
1644171300,Feb 06 2022 - 6:15pm,complete,N/A,Carlos Stein,ADT,David Huaman,1,0.00,0.00,1.00,0.67,0,0,0,0,0,0,"","",2,6,2,0,0,0,1,1,0,0,9,4,2,3,7,1,-1,-1,50,50,0.00,0.00,1.00,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.35,3.69,1.31,2.00,3.30,6.50,1.83,1.86,Estadio César Flores Marigorda (Lambayeque)
1644179400,Feb 06 2022 - 8:30pm,complete,N/A,Academia Cantolao,Universitario,Jesús Cartagena,1,0.00,0.00,1.06,1.28,0,3,3,0,0,0,"","71,73,76",6,8,0,2,3,0,1,1,2,1,7,13,5,7,2,6,14,21,43,57,0.00,0.00,1.17,1.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.92,3.35,2.08,1.30,1.90,3.30,6.50,1.77,1.95,Estadio Miguel Grau del Callao (Callao)
1644624000,Feb 12 2022 - 12:00am,complete,9000,Universitario,Universidad San Martín,Kevin Ortega,2,0.00,0.00,2.11,0.11,3,0,3,1,1,0,"17,71,86","",3,5,0,0,3,0,0,0,0,3,17,8,9,5,8,3,21,17,40,60,0.00,0.00,2.10,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,3.80,4.80,1.25,1.92,2.95,5.50,1.80,1.80,Estadio Monumental (Lima)
1644689700,Feb 12 2022 - 6:15pm,complete,N/A,Alianza Atlético,UTC Cajamarca,Micke Palomino,2,0.00,0.00,2.11,0.72,1,0,1,1,1,0,"12","",5,6,3,0,4,0,0,3,1,3,13,7,3,0,10,7,20,7,51,49,0.00,0.00,1.52,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.76,3.21,2.56,1.33,1.95,3.40,6.50,1.78,1.98,Estadio Municipal Melanio Coloma Calderón (Sullana)
