timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1656727500,Jul 02 2022 - 2:05am,complete,N/A,Mazatlán,Puebla,N/A,1,0.00,0.00,0.71,0.84,2,4,6,2,0,2,"47,85","5,14,58,76",10,3,1,0,3,0,1,0,2,1,3,6,3,6,0,0,7,18,60,40,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.64,3.26,2.68,1.34,2.18,3.98,7.60,1.95,1.80,Estadio de Mazatlán (Mazatlán)
1656799200,Jul 02 2022 - 10:00pm,complete,N/A,Necaxa,Toluca,Luis Enrique Santander Aguirre,1,0.00,0.00,1.18,1.38,1,3,4,3,1,2,"39","3,24,69",14,1,3,0,3,0,0,3,2,1,15,8,3,4,12,4,17,14,51,49,0.00,0.00,1.50,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.25,3.10,1.32,1.98,3.40,6.78,1.75,2.00,Estadio Victoria de Aguascalientes (Aguascalientes)
1656799200,Jul 02 2022 - 10:00pm,complete,N/A,Guadalajara,Juárez,N/A,1,0.00,0.00,1.60,0.78,0,0,0,0,0,0,"","",9,3,3,0,1,0,1,2,0,1,16,12,7,2,9,10,19,10,48,52,0.00,0.00,1.82,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.50,5.00,1.41,2.15,4.20,8.00,2.10,1.67,Estadio AKRON (Zapopan)
1656806700,Jul 03 2022 - 12:05am,complete,N/A,Tigres UANL,Cruz Azul,Óscar Mejía García,1,0.00,0.00,1.78,0.94,2,3,5,1,0,1,"48,75","16,63,90'3",4,0,1,0,0,0,0,1,0,0,22,8,4,6,18,2,7,18,67,33,0.00,0.00,2.13,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.30,3.75,1.36,2.04,3.78,7.10,1.95,1.80,Estadio Universitario de Nuevo León (San Nicolás de los Garza)
1656813900,Jul 03 2022 - 2:05am,complete,N/A,América,Atlas,Fernando Guerrero Ramírez,1,0.00,0.00,1.90,0.84,0,0,0,0,0,0,"","",4,4,1,0,1,0,1,0,1,0,18,10,4,0,14,10,6,11,55,45,0.00,0.00,1.71,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.25,3.50,1.45,2.18,4.54,8.90,2.10,1.67,Estadio Azteca (Ciudad de México (D.F.))
1656867600,Jul 03 2022 - 5:00pm,complete,N/A,Pumas UNAM,Tijuana,Adonai Escobedo González,1,0.00,0.00,1.35,0.76,1,1,2,1,0,1,"51","12",9,1,5,0,2,0,0,5,0,2,14,5,5,3,9,2,16,17,60,40,0.00,0.00,1.68,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.35,3.83,1.30,1.98,3.32,6.15,1.80,1.95,Estadio Olímpico de Universitario (Ciudad de México (D.F.))
1656885600,Jul 03 2022 - 10:00pm,complete,N/A,Atlético San Luis,León,Fernando Hernández Gómez,1,0.00,0.00,1.28,1.17,1,2,3,1,0,1,"77","35,90'3",7,2,0,0,1,0,0,0,1,0,13,16,4,10,9,6,17,12,56,44,0.00,0.00,1.55,1.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.20,2.75,1.35,1.97,3.70,6.95,1.91,1.91,Estadio Alfonso Lastras Ramírez (San Luis Potosí)
1656893100,Jul 04 2022 - 12:05am,complete,N/A,Santos Laguna,Monterrey,Jorge Antonio Pérez Durán,1,0.00,0.00,1.89,1.86,4,3,7,4,2,2,"26,34,85,90'1","17,21,67",7,6,2,0,4,0,1,1,2,2,21,17,6,9,15,8,6,19,49,51,0.00,0.00,1.99,1.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.25,2.50,1.36,2.04,3.78,7.30,1.91,1.91,Estadio Nuevo Corona (Torreón)
1656986400,Jul 05 2022 - 2:00am,complete,N/A,Pachuca,Querétaro,César Arturo Ramos Palazuelos,1,0.00,0.00,2.05,0.65,2,0,2,1,1,0,"25,58","",3,0,0,0,4,0,0,0,3,1,19,10,5,3,14,7,15,10,54,46,0.00,0.00,1.87,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,3.90,5.70,1.34,1.80,3.62,6.85,2.05,1.70,Estadio Hidalgo (Pachuca de Soto)
1657324800,Jul 09 2022 - 12:00am,complete,N/A,Mazatlán,Tigres UANL,Adonai Escobedo González,2,0.00,0.00,0.71,1.62,0,1,1,1,0,1,"","7",2,9,3,0,3,1,1,2,2,2,3,6,2,3,1,3,18,19,59,41,0.00,0.00,0.58,0.94,3.00,50,50,50,50,50,50,50,50,50,10.00,1.00,3.00,3.10,2.34,1.29,2.00,3.35,6.50,1.75,2.00,Estadio de Mazatlán (Mazatlán)
