timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1665132300,Oct 07 2022 - 8:45am,complete,N/A,Melbourne City FC,Western United,Shaun Evans,1,0.00,0.00,2.40,1.31,2,1,3,1,1,0,"38,59","90'2",11,3,3,0,4,0,2,1,2,2,23,11,12,5,11,6,16,9,49,51,0.00,0.00,2.71,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.81,3.91,4.14,1.22,1.68,2.90,5.00,1.70,2.00,AAMI Park (Melbourne)
1665208800,Oct 08 2022 - 6:00am,complete,N/A,Brisbane Roar,Macarthur,Adam Kersey,1,0.00,0.00,1.31,0.62,0,0,0,0,0,0,"","",10,3,1,0,4,0,1,0,1,3,13,8,3,3,10,5,14,10,53,47,0.00,0.00,1.40,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.50,2.90,1.25,1.76,3.10,5.50,1.65,2.10,Suncorp Stadium (Brisbane)
1665218700,Oct 08 2022 - 8:45am,complete,N/A,Sydney FC,Melbourne Victory FC,Chris Beath,1,0.00,0.00,1.36,0.85,2,3,5,2,1,1,"15,79","31,67,83",8,4,2,0,2,0,1,1,0,2,15,13,6,6,9,7,10,19,52,48,0.00,0.00,1.74,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.53,3.55,2.61,1.22,1.75,2.77,4.94,1.62,2.15,Allianz Stadium (Sydney)
1665280800,Oct 09 2022 - 2:00am,complete,N/A,Wellington Phoenix,Adelaide United,Ben Abraham,1,0.00,0.00,1.54,1.29,1,1,2,0,0,0,"75","90'3",1,12,2,1,2,0,2,1,1,1,6,23,3,8,3,15,11,16,39,61,0.00,0.00,0.81,2.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.46,3.39,3.07,1.25,1.76,3.00,5.50,1.63,2.10,Sky Stadium (Wellington)
1665288000,Oct 09 2022 - 4:00am,complete,N/A,Western Sydney Wanderers,Perth Glory FC,Kurt Ams,1,0.00,0.00,1.86,0.46,1,0,1,0,0,0,"78","",4,5,2,0,5,0,1,1,3,2,11,7,4,4,7,3,21,10,47,53,0.00,0.00,1.28,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.69,4.02,4.91,1.25,1.77,3.10,5.50,1.83,1.85,CommBank Stadium (Sydney)
1665737100,Oct 14 2022 - 8:45am,complete,N/A,Brisbane Roar,Melbourne City FC,N/A,2,1.00,0.00,1.31,1.64,0,2,2,2,0,2,"","22,38",3,5,1,0,2,1,0,1,1,2,8,12,4,7,4,5,12,15,43,57,1.40,0.00,1.10,1.56,0.00,0,0,0,0,0,0,0,0,0,10.00,1.00,3.12,3.58,2.19,1.22,1.82,2.90,5.50,1.62,2.20,Suncorp Stadium (Brisbane)
1665813600,Oct 15 2022 - 6:00am,complete,N/A,Newcastle Jets FC,Perth Glory FC,Daniel Elder,2,0.00,0.00,1.31,0.46,2,1,3,0,0,0,"59,90'3","73",6,5,2,1,1,0,0,3,0,1,11,15,3,7,8,8,15,14,53,47,0.00,0.99,1.18,1.76,0.50,0,0,0,0,0,0,0,0,50,5.00,5.00,1.67,3.70,4.75,1.22,1.75,2.90,5.00,1.75,2.00,McDonald Jones Stadium (Newcastle)
1665823500,Oct 15 2022 - 8:45am,complete,N/A,Melbourne Victory FC,Western Sydney Wanderers,Alex King,2,0.00,0.00,1.31,1.15,0,1,1,1,0,1,"","41",4,0,4,0,6,0,1,3,0,6,10,6,2,3,8,3,11,18,61,39,0.00,0.00,1.32,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.35,3.30,1.22,1.80,2.95,5.50,1.70,2.05,AAMI Park (Melbourne)
1665885600,Oct 16 2022 - 2:00am,complete,N/A,Wellington Phoenix,Central Coast Mariners,Jonathon Barreiro,2,1.00,0.00,1.54,1.73,2,2,4,0,0,0,"57,88","59,64",5,1,1,0,3,0,1,0,2,1,20,10,7,6,13,4,10,14,50,50,0.81,0.00,1.97,1.37,1.00,50,50,0,0,0,0,0,50,50,1.00,4.00,2.25,3.30,2.70,1.22,1.61,2.85,5.00,1.57,2.25,Sky Stadium (Wellington)
1665892800,Oct 16 2022 - 4:00am,complete,N/A,Macarthur,Adelaide United,Shaun Evans,2,0.00,1.00,1.38,1.29,2,0,2,1,1,0,"27,57","",4,7,3,0,4,0,2,1,2,2,10,24,5,9,5,15,12,17,37,63,0.00,2.58,1.29,2.51,1.00,50,50,0,0,0,0,0,50,50,12.00,2.00,2.20,3.25,2.87,1.22,1.70,2.90,5.00,1.62,2.20,Campbelltown Stadium (Sydney)
1665900000,Oct 16 2022 - 6:00am,complete,N/A,Western United,Sydney FC,Alireza Faghani,2,0.00,0.00,1.15,1.53,1,3,4,3,1,2,"16","39,41,69",6,3,3,0,2,0,2,1,1,1,12,13,5,7,7,6,10,9,50,50,0.00,0.00,1.69,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.20,2.30,1.25,1.73,3.00,5.50,1.62,2.20,AAMI Park (Melbourne)
1666341900,Oct 21 2022 - 8:45am,complete,N/A,Western United,Macarthur,Kurt Ams,3,0.00,1.00,1.15,0.62,1,1,2,1,0,1,"69","24",9,4,3,0,3,0,1,2,1,2,21,16,9,6,12,10,14,8,61,39,1.69,1.08,2.57,1.72,2.00,50,50,50,50,0,50,50,0,50,9.00,7.00,1.99,3.70,3.70,1.22,1.78,2.90,5.50,1.62,2.15,AAMI Park (Melbourne)
1666418400,Oct 22 2022 - 6:00am,complete,N/A,Newcastle Jets FC,Wellington Phoenix,Jack Morgan,3,3.00,0.00,1.31,1.07,3,1,4,4,3,1,"4,16,44","39",2,7,1,0,3,0,0,1,1,2,10,23,6,9,4,14,13,14,40,60,1.18,0.00,1.21,2.45,1.50,50,50,50,0,0,0,0,50,50,6.00,4.00,1.88,3.70,3.80,1.22,1.67,2.75,5.00,1.61,2.15,McDonald Jones Stadium (Newcastle)
